Сфера культуры,Страна,Год,Значение,Предупреждение о подсчете,Детали предупреждения,Замечание
Издательское дело и библиотеки,Латвия,2014,9.81595,standart,standart,standart
Издательское дело и библиотеки,Литва,2015,18.64404,standart,standart,standart
Издательское дело и библиотеки,Литва,2014,20.91146,standart,standart,standart
Издательское дело и библиотеки,Люксембург,2015,49.62479,standart,standart,standart
Издательское дело и библиотеки,Люксембург,2014,50.67098,standart,standart,standart
Издательское дело и библиотеки,Малайзия,2015,4.49853,standart,standart,standart
Издательское дело и библиотеки,Малайзия,2014,6.08309,standart,standart,standart
Издательское дело и библиотеки,Мали,2015,0.30414,standart,standart,standart
Издательское дело и библиотеки,Мальта,2015,8.02738,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Мальта,2014,6.88369,standart,standart,standart
Издательское дело и библиотеки,Мексика,2015,1.55019,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Мексика,2014,1.631,standart,standart,standart
Издательское дело и библиотеки,Молдова,2015,10.77537,standart,standart,standart
Издательское дело и библиотеки,Молдова,2014,14.1452,standart,standart,standart
Издательское дело и библиотеки,Нидерланды,2015,21.45015,standart,standart,standart
Издательское дело и библиотеки,Нидерланды,2014,22.52252,standart,standart,standart
Издательское дело и библиотеки,Пакистан,2015,0.57563,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Пакистан,2015,0.57563,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Пакистан,2014,0.82645,standart,standart,standart
Издательское дело и библиотеки,Панама,2016,2.89061,standart,standart,standart
Издательское дело и библиотеки,Панама,2013,3.76328,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Парагвай,2010,4.67695,standart,standart,standart
Издательское дело и библиотеки,Перу,2013,4.22961,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Пуэрто-Рико,2015,7.02379,standart,standart,standart
Издательское дело и библиотеки,Пуэрто-Рико,2014,19.35667,standart,standart,standart
Издательское дело и библиотеки,Россия,2014,10.51554,standart,standart,standart
Издательское дело и библиотеки,Румыния,2015,6.43364,standart,standart,standart
Издательское дело и библиотеки,Румыния,2014,5.89255,standart,standart,standart
Издательское дело и библиотеки,Сербия,2015,12.97877,standart,standart,standart
Издательское дело и библиотеки,Сербия,2014,16.00771,standart,standart,standart
Издательское дело и библиотеки,Словакия,2015,10.21566,standart,standart,standart
Издательское дело и библиотеки,Словакия,2014,7.85169,standart,standart,standart
Издательское дело и библиотеки,Словения,2016,13.32211,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Словения,2015,13.67849,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Словения,2014,13.89255,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Таиланд,2015,2.03107,standart,standart,standart
Издательское дело и библиотеки,Таиланд,2014,2.48772,standart,standart,standart
Издательское дело и библиотеки,Того,2015,1.49482,standart,standart,standart
Издательское дело и библиотеки,Турция,2015,3.05598,standart,standart,standart
Издательское дело и библиотеки,Турция,2014,2.39713,standart,standart,standart
Издательское дело и библиотеки,Уганда,2012,0.69857,standart,standart,standart
Издательское дело и библиотеки,Уругвай,2013,1.23468,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Финляндия,2015,19.48381,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Финляндия,2014,18.39623,standart,standart,standart
Издательское дело и библиотеки,Франция,2015,13.06723,standart,standart,standart
Издательское дело и библиотеки,Франция,2014,12.64305,standart,standart,standart
Издательское дело и библиотеки,Хорватия,2015,16.13221,Qualifier,Data quality,"Low reliability, use with caution"
Издательское дело и библиотеки,Чехия,2015,12.37758,standart,standart,standart
Издательское дело и библиотеки,Чили,2016,7.19779,standart,standart,standart
Издательское дело и библиотеки,Чили,2013,11.46181,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Швейцария,2014,16.04033,standart,standart,standart
Издательское дело и библиотеки,Швеция,2015,28.09915,standart,standart,standart
Издательское дело и библиотеки,Швеция,2014,29.14488,standart,standart,standart
Издательское дело и библиотеки,Шри-Ланка,2015,2.07864,standart,standart,standart
Издательское дело и библиотеки,Эквадор,2015,2.30438,standart,standart,standart
Издательское дело и библиотеки,Эквадор,2013,4.62061,Over Coverage,FCS domains,Includes Intangible cultural heritage
Издательское дело и библиотеки,Эстония,2015,19.09133,standart,standart,standart
Издательское дело и библиотеки,Эстония,2014,19.85392,standart,standart,standart
Издательское дело и библиотеки,ЮАР,2014,9.44566,standart,standart,standart
Издательское дело и библиотеки,Южная Корея,2015,19.22862,Over Coverage,Classification,Includes other occupation(s)
Издательское дело и библиотеки,Южная Корея,2014,19.33064,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Австрия,2015,7.74411,standart,standart,standart
"Кино, ТВ и видеоигры",Австрия,2014,7.74648,standart,standart,standart
"Кино, ТВ и видеоигры",Бельгия,2015,6.30851,standart,standart,standart
"Кино, ТВ и видеоигры",Бельгия,2014,5.50268,standart,standart,standart
"Кино, ТВ и видеоигры",Болгария,2015,4.29448,standart,standart,standart
"Кино, ТВ и видеоигры",Болгария,2014,3.26954,standart,standart,standart
"Кино, ТВ и видеоигры",Боливия,2011,17.4722,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Бразилия,2013,0.84041,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Бруней,2014,10.67143,standart,standart,standart
"Кино, ТВ и видеоигры",Венгрия,2015,8.29295,standart,standart,standart
"Кино, ТВ и видеоигры",Венгрия,2014,9.32039,standart,standart,standart
"Кино, ТВ и видеоигры",Вьетнам,2015,1.26249,standart,standart,standart
"Кино, ТВ и видеоигры",Гана,2014,1.15016,Over Coverage,Classification,Includes other occupation(s)
"Кино, ТВ и видеоигры",Гондурас,2015,3.11856,standart,standart,standart
"Кино, ТВ и видеоигры",Гондурас,2010,0.49296,Over Coverage,FCS domains,Includes Intangible cultural heritage
"Кино, ТВ и видеоигры",Израиль,2014,7.00036,standart,standart,standart
"Кино, ТВ и видеоигры",Кабо-Верде,2015,1.04814,standart,standart,standart
"Кино, ТВ и видеоигры",Каймановы острова,2016,9.63351,standart,standart,standart
"Кино, ТВ и видеоигры",Канада,2015,8.21701,standart,standart,standart
"Кино, ТВ и видеоигры",Кипр,2015,5.67454,Qualifier,Data quality,"Low reliability, use with caution"
"Кино, ТВ и видеоигры",Коста-Рика,2015,7.20604,standart,standart,standart
"Кино, ТВ и видеоигры",Латвия,2015,3.57895,standart,standart,standart
"Кино, ТВ и видеоигры",Латвия,2014,5.31697,standart,standart,standart
