indicatorId,geoUnit,year,value,qualifier,magnitude
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,SWE,2015,8.05149,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,TGO,2015,0.75317,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,THA,2014,2.31621,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,THA,2015,2.32527,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,TUR,2014,2.28963,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,TUR,2015,2.35706,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,UGA,2012,2.44196,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,URY,2013,0.49749,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,VNM,2015,0.54283,,
CE.RA.OCCDOMAIN1.2.OV.CULOCC1.1,ZAF,2014,2.55053,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,AUT,2014,34.64789,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,AUT,2015,38.72054,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BEL,2014,16.87809,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BEL,2015,17.01904,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BGR,2014,63.79585,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BGR,2015,63.72699,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BOL,2011,32.51176,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BRA,2013,76.11084,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,BRN,2014,59.83793,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CAN,2015,17.34062,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CHE,2014,29.5388,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CHL,2013,50.78899,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CHL,2016,55.31558,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CPV,2015,63.11956,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CRI,2015,73.14115,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CYM,2016,12.25131,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CYP,2015,24.61102,,
CE.RA.OCCDOMAIN1.3.OV.CULOCC1.1,CZE,2015,47.68749,,
